id,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PRIO3,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VIVT3,VVAR3,WEGE3,YDUQ3,Ibovespa,IBOV
185,10,5,8,45,4,85,16,9,14,5,4,14,7,3,8,14,36,16,17,1,1,2,18,4,10,9,24,34,16,16,33,4,12,13,17,10,4,11,6,1,1,1,1,4,16,29,11,10,7,6,46,9,7,0,0,0,3,11,1,1,22,50,28,8,10,8,43,30,0,4,2,5,12,0,10,1,0,13,2
186,24,5,11,43,3,76,25,18,21,4,10,17,12,3,7,14,34,10,18,3,3,2,31,6,9,6,22,21,12,22,44,5,5,7,29,9,3,13,7,2,1,1,1,4,19,35,17,9,6,9,49,8,7,0,0,0,5,16,1,1,20,52,73,16,11,7,51,25,0,5,2,6,13,0,11,2,1,17,3
187,32,4,9,36,6,99,20,11,17,4,11,16,11,6,12,9,49,19,29,1,2,3,21,6,6,10,20,23,9,19,33,4,5,8,25,15,2,13,8,1,1,1,1,4,15,33,13,15,8,7,92,6,5,1,0,0,4,16,1,1,39,27,55,25,7,5,59,25,0,8,2,6,11,0,10,1,0,17,2
188,19,4,8,33,4,65,32,9,11,4,10,19,10,8,5,10,40,16,19,2,3,2,13,19,13,8,39,35,23,18,28,2,4,10,18,15,4,19,6,3,1,1,1,7,18,34,29,19,6,8,71,6,5,0,0,0,6,22,1,1,16,48,27,7,12,10,48,39,0,5,3,7,13,0,12,2,0,19,3
189,17,4,7,23,3,52,12,12,10,5,10,11,10,6,7,7,24,14,15,3,2,5,14,36,7,3,22,21,6,24,23,4,7,12,15,9,2,11,5,2,1,1,1,5,14,21,20,11,4,5,47,6,6,1,0,0,3,12,1,1,7,40,20,6,8,7,33,31,0,4,1,5,9,0,18,1,0,15,3
190,17,3,12,26,5,44,14,14,9,4,6,12,11,3,6,6,33,14,17,1,2,2,16,29,7,6,27,20,10,19,18,0,7,10,21,13,2,12,3,3,0,1,0,3,13,24,23,11,3,5,46,11,7,0,0,0,3,12,1,0,10,28,26,6,13,5,33,30,1,9,2,5,8,0,12,1,0,14,2
191,13,5,11,31,4,56,19,23,8,4,5,15,11,2,7,4,21,14,15,1,1,2,15,24,9,10,34,19,8,17,38,1,11,7,16,14,3,14,7,3,1,1,1,4,15,27,35,8,5,7,49,7,7,1,0,0,3,11,1,1,18,42,19,6,9,2,26,31,0,6,1,6,11,0,17,1,0,14,3
192,18,5,13,35,4,64,19,30,15,5,11,11,8,4,10,5,31,14,16,1,3,3,24,18,8,10,31,20,14,18,60,5,9,11,18,12,2,14,6,2,1,1,0,2,17,28,26,10,8,8,50,8,6,1,0,0,4,13,2,1,38,49,22,14,8,7,29,27,0,3,2,7,12,0,28,2,0,15,3
193,11,3,14,29,7,66,17,19,16,5,9,18,6,3,7,3,25,13,24,5,2,2,18,15,13,9,18,24,11,12,47,1,9,17,29,13,4,10,7,3,1,1,1,3,16,30,36,11,14,10,48,7,8,1,0,0,4,12,1,1,40,47,26,7,20,12,31,34,0,5,1,7,9,0,37,2,0,16,3
194,16,3,17,29,7,74,23,25,12,6,9,19,9,3,8,6,32,17,18,3,2,2,17,16,9,16,24,24,10,13,45,2,9,17,27,12,3,14,5,3,1,3,1,3,14,28,36,12,8,8,47,13,6,1,3,0,4,13,2,1,29,47,24,10,13,13,37,26,0,5,1,5,11,1,27,1,0,19,3
195,8,2,32,18,3,39,12,17,7,4,4,8,6,2,4,4,25,10,15,1,1,2,18,12,5,9,16,23,7,15,32,0,3,15,17,8,2,7,3,1,0,0,1,2,9,18,17,8,7,6,26,11,6,1,3,0,2,8,2,0,12,35,17,16,6,4,19,19,0,4,1,3,8,0,15,1,0,13,2
196,8,2,26,23,3,28,21,17,11,3,8,9,11,3,6,6,26,10,15,1,1,3,13,11,8,13,13,19,4,11,45,3,6,15,30,7,3,8,2,2,1,1,1,2,13,20,22,5,4,8,22,10,4,1,4,0,3,11,2,0,13,40,19,24,10,13,17,21,0,10,1,4,8,0,15,1,0,14,2
